gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
10664-10664_game_1,JD Gaming,Bilibili Gaming,DCup,13.24,Yone,Lee Sin,Orianna,Ashe,Renata Glasc,Aatrox,Vi,Neeko,Varus,Rakan,,,,,,,,,,,1
10664-10664_game_2,Bilibili Gaming,JD Gaming,DCup,13.24,Jax,Wukong,Ahri,Xayah,Rakan,Gragas,Xin Zhao,Syndra,Varus,Renata Glasc,,,,,,,,,,,0
10664-10664_game_3,JD Gaming,Bilibili Gaming,DCup,13.24,Udyr,Xin Zhao,Neeko,Lucian,Milio,Rumble,Lee Sin,Akali,Xayah,Rakan,,,,,,,,,,,1
LOLTMNT99_135042,Misa Esports,FUT Esports,TSC,14.01,Renekton,Taliyah,Lucian,Jhin,Leona,Ornn,Elise,LeBlanc,Caitlyn,Milio,Ashe,Kalista,Gragas,Lux,Azir,Rumble,Nocturne,Varus,Ziggs,Nautilus,1
LOLTMNT99_135161,Easier to Run,BAU Esports,TSC,14.01,Jax,Poppy,Ahri,Varus,Ashe,Ornn,Jarvan IV,Syndra,Jinx,Milio,Brand,Bel'Veth,K'Sante,Orianna,LeBlanc,Rumble,Rell,Lucian,Malphite,Akali,0
LOLTMNT99_136226,FUT Esports,Easier to Run,TSC,14.01,Aatrox,Nocturne,Neeko,Aphelios,Rakan,Kennen,Viego,LeBlanc,Xayah,Rell,Ashe,Akali,Lucian,Jax,Yone,Kalista,Rumble,Varus,Kai'Sa,Draven,0
LOLTMNT99_136295,Misa Esports,BAU Esports,TSC,14.01,Jax,Vi,Orianna,Xayah,Rakan,Malphite,Viego,LeBlanc,Aphelios,Nautilus,Ashe,Nocturne,Varus,Jarvan IV,Kennen,Rumble,Lucian,Kalista,Elise,Lee Sin,0
LOLTMNT99_136363,BAU Esports,FUT Esports,TSC,14.01,K'Sante,Briar,Vel'Koz,Ziggs,Rakan,Gwen,Xin Zhao,Neeko,Kai'Sa,Rell,Ashe,Nocturne,Kalista,Nautilus,Renekton,Rumble,Lucian,Varus,Orianna,Syndra,1
LOLTMNT99_136427,Misa Esports,Easier to Run,TSC,14.01,Jayce,Viego,Orianna,Xayah,Rakan,Aatrox,Elise,Yone,Ziggs,Rell,Ashe,Nocturne,Lucian,Jarvan IV,Renekton,Rumble,Kalista,Varus,Jax,Vi,0
LOLTMNT99_138196,NASR eSports Turkey,Beşiktaş Esports,TSC,14.01,K'Sante,Elise,Azir,Varus,Blitzcrank,Gwen,Xin Zhao,Sylas,Kalista,Renata Glasc,Ashe,Lucian,Orianna,Neeko,Syndra,Rumble,Nocturne,Akali,LeBlanc,Tristana,1
